feature_set,event,roc_auc,average_precision,n_positive,n_negative
baseline,HandStart,0.6003251821978759,0.02954423884744931,308,14092
baseline,FirstDigitTouch,0.5303447931463069,0.023772627436691948,320,14080
baseline,BothStartLoadPhase,0.5217893166642988,0.02355775181494954,322,14078
baseline,LiftOff,0.5583173277777671,0.027134630615032837,333,14067
baseline,Replace,0.5925161351349701,0.031081354195197503,326,14074
baseline,BothReleased,0.5359532424457798,0.025807741961588998,330,14070
mfg,HandStart,0.5326301926855432,0.022977013101305406,308,14092
mfg,FirstDigitTouch,0.548704501065341,0.023608733646065947,320,14080
mfg,BothStartLoadPhase,0.4909363669493567,0.020679320042022373,322,14078
mfg,LiftOff,0.4692760578877021,0.020288328547866538,333,14067
mfg,Replace,0.4958876438387454,0.02219362958554718,326,14074
mfg,BothReleased,0.4956761646313885,0.022773221085274013,330,14070
combined,HandStart,0.5848594440614736,0.028531149199176396,308,14092
combined,FirstDigitTouch,0.5460969682173296,0.024347745802959918,320,14080
combined,BothStartLoadPhase,0.5349195784974397,0.025577736455654556,322,14078
combined,LiftOff,0.5786339762667337,0.029234275473121456,333,14067
combined,Replace,0.5852875815910817,0.030776779214865636,326,14074
combined,BothReleased,0.5525738192156102,0.027506854995513527,330,14070
