config_id,split,mode,m,max_edges,edge_selection,channel_set,preprocess,label_shift_ms,stride,epochs,mfg_feature_mode,ema_half_life_s,train_series,val_series,baseline_windows_ms,baseline_lags_ms,edges_used,baseline_auc,mfg_auc,combined_auc,baseline_ap,mfg_ap,combined_ap,combined_minus_baseline,mfg_minus_baseline,result_dir
19,1-2-3-4-5-6|7,corr,2,8,event_union,all32,bandpass_0_5_48,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,48,0.666731925869143,0.5738122844546852,0.7184113733086823,0.06833742548889903,0.04749048179069864,0.08309588654046662,0.05167944743953934,-0.09291964141445774,out\classification_controls\runs\cfg_019
54,1-2-3-4-5-6-7|8,corr,2,8,event_union,no_fp1_fp2,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,48,0.6534534284157004,0.5891050512960044,0.7015048732948527,0.06294192571360864,0.04977494525580948,0.0723443627414753,0.04805144487915225,-0.06434837711969599,out\classification_controls\runs\cfg_054
22,1-2-3-4-5-6|7,corr,2,8,event_union,no_fp1_fp2,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,48,0.6267505435485776,0.5992153422466188,0.6672143710227293,0.05749686649674527,0.04863990326153717,0.06450676481622981,0.04046382747415167,-0.027535201301958856,out\classification_controls\runs\cfg_022
11,1-2-3-4-5-6|7,corr,2,4,event_union,motor_premotor,bandpass_0_5_48,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,20,0.612302668195807,0.6079054117022608,0.6508579536911301,0.05595680627955122,0.04901844719114928,0.06408130122629975,0.038555285495323055,-0.0043972564935462755,out\classification_controls\runs\cfg_011
10,1-2-3-4-5-6|7,corr,2,4,event_union,motor_premotor,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,20,0.5577136000759403,0.5444639997108686,0.5922716871127661,0.04495174259888554,0.04259051697705019,0.04922171754690433,0.034558087036825835,-0.013249600365071723,out\classification_controls\runs\cfg_010
42,1-2-3-4-5-6-7|8,corr,2,4,event_union,motor_premotor,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,20,0.5742667302095376,0.5559086167685293,0.6051151577020811,0.046565634005865074,0.04279940947716005,0.049387900620405045,0.030848427492543573,-0.01835811344100824,out\classification_controls\runs\cfg_042
17,1-2-3-4-5-6|7,corr,2,8,event_union,all32,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,48,0.6892334186327811,0.6228115954784963,0.7191087203038681,0.07281816508017112,0.056427523037156514,0.08213325723431471,0.029875301671086985,-0.0664218231542848,out\classification_controls\runs\cfg_017
38,1-2-3-4-5-6-7|8,corr,2,4,event_union,no_fp1_fp2,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,24,0.6534534284157004,0.5559289306713858,0.682635382051688,0.06294192571360864,0.04358643516683544,0.0746660916949115,0.029181953635987634,-0.0975244977443146,out\classification_controls\runs\cfg_038
51,1-2-3-4-5-6-7|8,corr,2,8,event_union,all32,bandpass_0_5_48,0.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,48,0.6783128337025519,0.5646591502278437,0.7050617984640931,0.08353600227672243,0.05053246206070767,0.08729274633493884,0.026748964761541205,-0.11365368347470817,out\classification_controls\runs\cfg_051
3,1-2-3-4-5-6|7,corr,2,4,event_union,all32,bandpass_0_5_48,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,24,0.666731925869143,0.5632668034755485,0.6887375312692186,0.06833742548889903,0.04625584131891262,0.07597998890758516,0.022005605400075567,-0.10346512239359451,out\classification_controls\runs\cfg_003
