subject,split,classifier,channel_set,preprocess,baseline_context,smooth_proba_ms,val_keep_all_positive,edge_selection,mode,m,max_edges,alpha,fusion_grid,stride,mfg_feature_mode,baseline_auc_aligned,best_assisted_auc_aligned,best_assisted_feature_set_aligned,best_assisted_minus_baseline_aligned,baseline_auc_shifted,best_assisted_auc_shifted,best_assisted_feature_set_shifted,best_assisted_minus_baseline_shifted,aligned_lift,shifted_lift,aligned_minus_shifted,aligned_wins,aligned_auc,shifted_auc,aligned_baseline_auc,shifted_baseline_auc
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.8533027241759358,0.8582162785844556,combined,0.0049135544085198,0.8458850148156101,0.836939627601391,fusion,-0.0089453872142191,0.0049135544085198,-0.0089453872142191,0.0138589416227389,True,0.8582162785844556,0.836939627601391,0.8533027241759358,0.8458850148156101
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.8566190328217177,0.8605397108751184,combined,0.0039206780534006,0.8522903903860514,0.8438331717242881,fusion,-0.0084572186617633,0.0039206780534006,-0.0084572186617633,0.0123778967151639,True,0.8605397108751184,0.8438331717242881,0.8566190328217177,0.8522903903860514
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.8533027241759358,0.8582162785844556,combined,0.0049135544085198,0.8458850148156101,0.8393673113916144,fusion,-0.0065177034239957,0.0049135544085198,-0.0065177034239957,0.011431257832515501,True,0.8582162785844556,0.8393673113916144,0.8533027241759358,0.8458850148156101
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.2,100,expanded,0.8566190328217177,0.8605397108751184,combined,0.0039206780534006,0.8522903903860514,0.8461081478573084,fusion,-0.0061822425287429,0.0039206780534006,-0.0061822425287429,0.010102920582143501,True,0.8605397108751184,0.8461081478573084,0.8566190328217177,0.8522903903860514
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.15,100,expanded,0.8533027241759358,0.8582162785844556,combined,0.0049135544085198,0.8458850148156101,0.8415420445715641,fusion,-0.0043429702440459,0.0049135544085198,-0.0043429702440459,0.0092565246525657,True,0.8582162785844556,0.8415420445715641,0.8533027241759358,0.8458850148156101
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8592275121704448,0.8662105434408175,combined,0.0069830312703726,0.8497636450305649,0.8476777156735182,fusion,-0.0020859293570466,0.0069830312703726,-0.0020859293570466,0.0090689606274192,True,0.8662105434408175,0.8476777156735182,0.8592275121704448,0.8497636450305649
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8067628762135656,0.8153487217560054,combined,0.0085858455424397,0.8161774210065983,0.8157347506806563,fusion,-0.000442670325942,0.0085858455424397,-0.000442670325942,0.0090285158683817,True,0.8153487217560054,0.8157347506806563,0.8067628762135656,0.8161774210065983
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.8344324158597916,0.8408377924358489,combined,0.0064053765760573,0.8188175774052141,0.8164068339706619,combined,-0.0024107434345521,0.0064053765760573,-0.0024107434345521,0.008816120010609399,True,0.8408377924358489,0.8164068339706619,0.8344324158597916,0.8188175774052141
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.8516974192850681,0.8586205091082014,combined,0.0069230898231332,0.8434989480828108,0.8416178999563119,fusion,-0.0018810481264989,0.0069230898231332,-0.0018810481264989,0.0088041379496321,True,0.8586205091082014,0.8416178999563119,0.8516974192850681,0.8434989480828108
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8610942479800591,0.8618639239021214,combined,0.0007696759220623,0.8604318420920455,0.8526122360126198,fusion,-0.0078196060794256,0.0007696759220623,-0.0078196060794256,0.0085892820014879,True,0.8618639239021214,0.8526122360126198,0.8610942479800591,0.8604318420920455
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.8344324158597916,0.8408377924358489,combined,0.0064053765760573,0.8188175774052141,0.8166462829643709,fusion,-0.0021712944408431,0.0064053765760573,-0.0021712944408431,0.0085766710169004,True,0.8408377924358489,0.8166462829643709,0.8344324158597916,0.8188175774052141
6,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.8522824348835766,0.8551772222010303,fusion,0.0028947873174537,0.8443487454326454,0.838887779094401,fusion,-0.0054609663382443,0.0028947873174537,-0.0054609663382443,0.008355753655698,True,0.8551772222010303,0.838887779094401,0.8522824348835766,0.8443487454326454
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.7994096596841583,0.8068648568171425,combined,0.0074551971329841,0.8060752515483421,0.8052646913428506,fusion,-0.0008105602054915,0.0074551971329841,-0.0008105602054915,0.0082657573384756,True,0.8068648568171425,0.8052646913428506,0.7994096596841583,0.8060752515483421
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.803194091829221,0.8105129672034974,combined,0.0073188753742764,0.8108556605725288,0.8100363321152045,fusion,-0.0008193284573242,0.0073188753742764,-0.0008193284573242,0.0081382038316006,True,0.8105129672034974,0.8100363321152045,0.803194091829221,0.8108556605725288
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.8468042964041232,0.8529851881645083,combined,0.006180891760385,0.8373375343821604,0.8353870586822061,fusion,-0.0019504756999543,0.006180891760385,-0.0019504756999543,0.0081313674603393,True,0.8529851881645083,0.8353870586822061,0.8468042964041232,0.8373375343821604
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.15,100,expanded,0.8566190328217177,0.8605397108751184,combined,0.0039206780534006,0.8522903903860514,0.8481323469669083,fusion,-0.004158043419143,0.0039206780534006,-0.004158043419143,0.0080787214725436,True,0.8605397108751184,0.8481323469669083,0.8566190328217177,0.8522903903860514
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.2,100,expanded,0.8067628762135656,0.8153487217560054,combined,0.0085858455424397,0.8161774210065983,0.8166924161287344,fusion,0.0005149951221361,0.0085858455424397,0.0005149951221361,0.0080708504203036,True,0.8153487217560054,0.8166924161287344,0.8067628762135656,0.8161774210065983
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.2,100,expanded,0.8592275121704448,0.8662105434408175,combined,0.0069830312703726,0.8497636450305649,0.8488184587529738,fusion,-0.0009451862775911,0.0069830312703726,-0.0009451862775911,0.0079282175479637,True,0.8662105434408175,0.8488184587529738,0.8592275121704448,0.8497636450305649
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.1,100,expanded,0.8067628762135656,0.8153487217560054,combined,0.0085858455424397,0.8161774210065983,0.8170643824052025,fusion,0.0008869613986042,0.0085858455424397,0.0008869613986042,0.0076988841438355,True,0.8153487217560054,0.8170643824052025,0.8067628762135656,0.8161774210065983
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.2,100,expanded,0.8516974192850681,0.8586205091082014,combined,0.0069230898231332,0.8434989480828108,0.8427277965409922,fusion,-0.0007711515418186,0.0069230898231332,-0.0007711515418186,0.0076942413649518,True,0.8586205091082014,0.8427277965409922,0.8516974192850681,0.8434989480828108
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.15,100,expanded,0.8067628762135656,0.8153487217560054,combined,0.0085858455424397,0.8161774210065983,0.8171150201563154,fusion,0.0009375991497171,0.0085858455424397,0.0009375991497171,0.007648246392722601,True,0.8153487217560054,0.8171150201563154,0.8067628762135656,0.8161774210065983
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.15,100,expanded,0.8344324158597916,0.8408377924358489,combined,0.0064053765760573,0.8188175774052141,0.8176792677543457,fusion,-0.0011383096508683,0.0064053765760573,-0.0011383096508683,0.0075436862269256,True,0.8408377924358489,0.8176792677543457,0.8344324158597916,0.8188175774052141
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.8456189724052828,0.84933684781223,combined,0.0037178754069471,0.8331005274070962,0.8292896099449347,fusion,-0.0038109174621614,0.0037178754069471,-0.0038109174621614,0.0075287928691085,True,0.84933684781223,0.8292896099449347,0.8456189724052828,0.8331005274070962
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.7994096596841583,0.8068648568171425,combined,0.0074551971329841,0.8060752515483421,0.8060339110539211,fusion,-4.134049442106047e-05,0.0074551971329841,-4.134049442106047e-05,0.00749653762740516,True,0.8068648568171425,0.8060339110539211,0.7994096596841583,0.8060752515483421
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.1,100,expanded,0.8533027241759358,0.8582162785844556,combined,0.0049135544085198,0.8458850148156101,0.843311074951905,fusion,-0.002573939863705,0.0049135544085198,-0.002573939863705,0.0074874942722248,True,0.8582162785844556,0.843311074951905,0.8533027241759358,0.8458850148156101
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.15,100,expanded,0.8592275121704448,0.8662105434408175,combined,0.0069830312703726,0.8497636450305649,0.8493928612427659,fusion,-0.0003707837877989,0.0069830312703726,-0.0003707837877989,0.0073538150581715,True,0.8662105434408175,0.8493928612427659,0.8592275121704448,0.8497636450305649
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.2,100,expanded,0.803194091829221,0.8105129672034974,combined,0.0073188753742764,0.8108556605725288,0.8108817129361867,fusion,2.605236365793573e-05,0.0073188753742764,2.605236365793573e-05,0.007292823010618464,True,0.8105129672034974,0.8108817129361867,0.803194091829221,0.8108556605725288
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.15,100,expanded,0.8516974192850681,0.8586205091082014,combined,0.0069230898231332,0.8434989480828108,0.8431919195897665,fusion,-0.0003070284930443,0.0069230898231332,-0.0003070284930443,0.0072301183161775,True,0.8586205091082014,0.8431919195897665,0.8516974192850681,0.8434989480828108
5,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.7480635227913828,0.7497478523451679,combined,0.0016843295537851,0.7785255057220696,0.7730095161923519,fusion,-0.0055159895297176,0.0016843295537851,-0.0055159895297176,0.007200319083502701,True,0.7497478523451679,0.7730095161923519,0.7480635227913828,0.7785255057220696
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.15,100,expanded,0.7994096596841583,0.8068648568171425,combined,0.0074551971329841,0.8060752515483421,0.806412339586616,fusion,0.0003370880382738,0.0074551971329841,0.0003370880382738,0.0071181090947103,True,0.8068648568171425,0.806412339586616,0.7994096596841583,0.8060752515483421
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.8468042964041232,0.8529851881645083,combined,0.006180891760385,0.8373375343821604,0.836476796746385,fusion,-0.0008607376357754,0.006180891760385,-0.0008607376357754,0.007041629396160399,True,0.8529851881645083,0.836476796746385,0.8468042964041232,0.8373375343821604
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.1,100,expanded,0.8516974192850681,0.8586205091082014,combined,0.0069230898231332,0.8434989480828108,0.8434727947386417,fusion,-2.615334416911086e-05,0.0069230898231332,-2.615334416911086e-05,0.006949243167302311,True,0.8586205091082014,0.8434727947386417,0.8516974192850681,0.8434989480828108
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.1,100,expanded,0.8592275121704448,0.8662105434408175,combined,0.0069830312703726,0.8497636450305649,0.8497990047272412,fusion,3.535969667634031e-05,0.0069830312703726,3.535969667634031e-05,0.00694767157369626,True,0.8662105434408175,0.8497990047272412,0.8592275121704448,0.8497636450305649
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.1,100,expanded,0.7994096596841583,0.8068648568171425,combined,0.0074551971329841,0.8060752515483421,0.806587161732011,fusion,0.0005119101836688,0.0074551971329841,0.0005119101836688,0.0069432869493153,True,0.8068648568171425,0.806587161732011,0.7994096596841583,0.8060752515483421
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.15,100,expanded,0.803194091829221,0.8105129672034974,combined,0.0073188753742764,0.8108556605725288,0.8112528924822243,fusion,0.0003972319096955,0.0073188753742764,0.0003972319096955,0.0069216434645809,True,0.8105129672034974,0.8112528924822243,0.803194091829221,0.8108556605725288
11,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.1,100,expanded,0.803194091829221,0.8105129672034974,combined,0.0073188753742764,0.8108556605725288,0.8113623055969749,fusion,0.000506645024446,0.0073188753742764,0.000506645024446,0.0068122303498304,True,0.8105129672034974,0.8113623055969749,0.803194091829221,0.8108556605725288
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.1,100,expanded,0.8344324158597916,0.8408377924358489,combined,0.0064053765760573,0.8188175774052141,0.8184243635050739,fusion,-0.0003932139001402,0.0064053765760573,-0.0003932139001402,0.0067985904761975,True,0.8408377924358489,0.8184243635050739,0.8344324158597916,0.8188175774052141
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.15,100,expanded,0.8468042964041232,0.8529851881645083,combined,0.006180891760385,0.8373375343821604,0.8371011270695959,fusion,-0.0002364073125644,0.006180891760385,-0.0002364073125644,0.0064172990729493996,True,0.8529851881645083,0.8371011270695959,0.8468042964041232,0.8373375343821604
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.1,100,expanded,0.8566190328217177,0.8605397108751184,combined,0.0039206780534006,0.8522903903860514,0.8498664333199207,fusion,-0.0024239570661306,0.0039206780534006,-0.0024239570661306,0.0063446351195312,True,0.8605397108751184,0.8498664333199207,0.8566190328217177,0.8522903903860514
9,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.2,100,expanded,0.8610942479800591,0.8618639239021214,combined,0.0007696759220623,0.8604318420920455,0.854905058706438,fusion,-0.0055267833856075,0.0007696759220623,-0.0055267833856075,0.0062964593076698,True,0.8618639239021214,0.854905058706438,0.8610942479800591,0.8604318420920455
6,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.8601976176370657,0.862756289347394,fusion,0.0025586717103283,0.851294950490295,0.8475679085313713,fusion,-0.0037270419589237,0.0025586717103283,-0.0037270419589237,0.006285713669251999,True,0.862756289347394,0.8475679085313713,0.8601976176370657,0.851294950490295
6,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.2,100,expanded,0.8522824348835766,0.8548701192325855,fusion,0.0025876843490089,0.8443487454326454,0.840843250994005,fusion,-0.0035054944386403,0.0025876843490089,-0.0035054944386403,0.0060931787876492005,True,0.8548701192325855,0.840843250994005,0.8522824348835766,0.8443487454326454
6,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.1,100,expanded,0.8468042964041232,0.8529851881645083,combined,0.006180891760385,0.8373375343821604,0.8374583826253218,fusion,0.0001208482431613,0.006180891760385,0.0001208482431613,0.0060600435172237,True,0.8529851881645083,0.8374583826253218,0.8468042964041232,0.8373375343821604
5,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.7387862402171957,0.7405711255097044,combined,0.0017848852925086,0.7616207160280926,0.7573546458668683,fusion,-0.0042660701612242,0.0017848852925086,-0.0042660701612242,0.0060509554537328,True,0.7405711255097044,0.7573546458668683,0.7387862402171957,0.7616207160280926
10,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.25,100,expanded,0.8838799187135707,0.8874532315500699,fusion,0.0035733128364991,0.8585492918810673,0.8561805773700706,fusion,-0.0023687145109967,0.0035733128364991,-0.0023687145109967,0.0059420273474958,True,0.8874532315500699,0.8561805773700706,0.8838799187135707,0.8585492918810673
3,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.2,100,expanded,0.8456189724052828,0.84933684781223,combined,0.0037178754069471,0.8331005274070962,0.8309473851337893,fusion,-0.0021531422733068,0.0037178754069471,-0.0021531422733068,0.0058710176802539,True,0.84933684781223,0.8309473851337893,0.8456189724052828,0.8331005274070962
5,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.3,0.25,100,expanded,0.7314445527152126,0.7331572496671172,combined,0.0017126969519045,0.7503313428131211,0.7465143107089821,fusion,-0.0038170321041389,0.0017126969519045,-0.0038170321041389,0.0055297290560434,True,0.7331572496671172,0.7465143107089821,0.7314445527152126,0.7503313428131211
10,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.2,0.25,100,expanded,0.8774878061006449,0.8813825800982483,fusion,0.0038947739976034,0.8491129096770011,0.8475846477837812,fusion,-0.0015282618932199,0.0038947739976034,-0.0015282618932199,0.0054230358908233,True,0.8813825800982483,0.8475846477837812,0.8774878061006449,0.8491129096770011
5,1-2-3-4-5-6-7|8,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.2,100,expanded,0.7480635227913828,0.7497478523451679,combined,0.0016843295537851,0.7785255057220696,0.7747883884006116,fusion,-0.0037371173214579,0.0016843295537851,-0.0037371173214579,0.005421446875243,True,0.7497478523451679,0.7747883884006116,0.7480635227913828,0.7785255057220696
10,1-2-3-4-5-6|7,sgd_logistic,all32,bandpass_0_5_48,causal,0.0,True,event_union,corr,2,8,0.1,0.2,100,expanded,0.8838799187135707,0.8872229852636672,fusion,0.0033430665500964,0.8585492918810673,0.8570773952123325,fusion,-0.0014718966687348,0.0033430665500964,-0.0014718966687348,0.0048149632188312,True,0.8872229852636672,0.8570773952123325,0.8838799187135707,0.8585492918810673
