phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant
BothStartLoadPhase__LiftOff,pc1,0,PO9,O1,Occipital,Occipital,9,12,12,1.7784181199405136e-07,4.9929927593801584e-05,True
BothStartLoadPhase__LiftOff,pc1,0,PO9,Oz,Occipital,Occipital,7,12,12,5.2879037178301744e-05,0.009666339965763267,True
BothStartLoadPhase__LiftOff,pc1,0,PO9,P7,Occipital,Parietal,6,12,12,0.0005654110912547203,0.08396523989890457,False
BothStartLoadPhase__LiftOff,pc1,0,PO10,O2,Occipital,Occipital,7,12,12,5.2879037178301744e-05,0.009666339965763267,True
BothStartLoadPhase__LiftOff,pc1,0,PO10,P8,Occipital,Parietal,9,12,12,1.7784181199405136e-07,4.9929927593801584e-05,True
BothStartLoadPhase__LiftOff,pc1,0,PO10,Oz,Occipital,Occipital,6,12,12,0.0005654110912547203,0.08396523989890457,False
BothStartLoadPhase__LiftOff,pc1,0,PO9,FC6,Occipital,Frontocentral,5,12,12,0.004484084738993281,0.5270393437300159,False
BothStartLoadPhase__LiftOff,pc1,0,T8,FC6,Temporal,Frontocentral,5,12,12,0.004484084738993281,0.5270393437300159,False
BothStartLoadPhase__LiftOff,pc1,0,PO9,F8,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,PO10,O2,Occipital,Occipital,12,12,12,1.1011841054829476e-12,7.516339215406542e-10,True
BothStartLoadPhase__LiftOff,pc1,50,PO9,O1,Occipital,Occipital,12,12,12,1.1011841054829476e-12,7.516339215406542e-10,True
BothStartLoadPhase__LiftOff,pc1,50,PO10,Oz,Occipital,Occipital,11,12,12,1.1897193075637764e-10,5.463896079181788e-08,True
BothStartLoadPhase__LiftOff,pc1,50,PO10,P8,Occipital,Parietal,7,12,12,5.2879037178301744e-05,0.009666339965763267,True
BothStartLoadPhase__LiftOff,pc1,50,PO10,FC1,Occipital,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,PO10,Fz,Occipital,Frontal,7,12,12,5.2879037178301744e-05,0.009666339965763267,True
BothStartLoadPhase__LiftOff,pc1,50,PO9,Oz,Occipital,Occipital,8,12,12,3.6286796437323756e-06,0.0008230907484563682,True
BothStartLoadPhase__LiftOff,pc1,50,PO9,P7,Occipital,Parietal,8,12,12,3.6286796437323756e-06,0.0008230907484563682,True
BothStartLoadPhase__LiftOff,pc1,50,F4,FC2,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,PO9,Fz,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,100,PO10,O2,Occipital,Occipital,12,12,12,1.1011841054829476e-12,7.516339215406542e-10,True
BothStartLoadPhase__LiftOff,pc1,100,PO9,O1,Occipital,Occipital,12,12,12,1.1011841054829476e-12,7.516339215406542e-10,True
BothStartLoadPhase__LiftOff,pc1,100,PO10,Oz,Occipital,Occipital,11,12,12,1.1897193075637764e-10,5.463896079181788e-08,True
BothStartLoadPhase__LiftOff,pc1,100,PO9,Oz,Occipital,Occipital,11,12,12,1.1897193075637764e-10,5.463896079181788e-08,True
BothStartLoadPhase__LiftOff,pc1,100,PO10,P8,Occipital,Parietal,9,12,12,1.7784181199405136e-07,4.9929927593801584e-05,True
