config_id,topk,min_subjects_param,p0_inflate,p0_effective,use_fdr,alpha,phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO9,O1,Occipital,Occipital,8,12,12,7.35683912920622e-11,3.1456829380054184e-08,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO9,Oz,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO9,P7,Occipital,Parietal,5,12,12,6.941643366319013e-06,0.0015650250498610138,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO10,O2,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO10,P8,Occipital,Parietal,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO10,Oz,Occipital,Occipital,4,12,12,0.00016973510588022393,0.03087601926036347,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,PO10,O2,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,PO9,O1,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,PO10,Oz,Occipital,Occipital,9,12,12,8.421573233354471e-13,4.540326438851976e-10,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,PO10,P8,Occipital,Parietal,5,12,12,6.941643366319013e-06,0.0015650250498610138,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,PO9,Oz,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,PO10,Fz,Occipital,Frontal,4,12,12,0.00016973510588022393,0.03087601926036347,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,100,PO10,O2,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,100,PO9,O1,Occipital,Occipital,11,12,12,3.0531096369412427e-17,3.199314887160964e-14,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,100,PO10,Oz,Occipital,Occipital,8,12,12,7.35683912920622e-11,3.1456829380054184e-08,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,100,PO9,Oz,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,100,PO10,P8,Occipital,Parietal,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,PO10,O2,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,PO9,O1,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,PO10,Oz,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,PO9,Oz,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,PO10,P8,Occipital,Parietal,9,12,12,8.421573233354471e-13,4.540326438851976e-10,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,PO10,O2,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,PO9,O1,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,PO10,Oz,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,PO10,P8,Occipital,Parietal,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,PO9,Oz,Occipital,Occipital,11,12,12,3.0531096369412427e-17,3.199314887160964e-14,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,O1,Oz,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,O1,PO9,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,Oz,O1,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,Oz,O2,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,O2,PO10,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,O2,Oz,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,P7,CP5,Parietal,Parietal,4,12,12,0.00016973510588022393,0.03087601926036347,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,Oz,O2,Occipital,Occipital,11,12,12,3.0531096369412427e-17,3.199314887160964e-14,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,O2,Oz,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,O1,Oz,Occipital,Occipital,5,12,12,6.941643366319013e-06,0.0015650250498610138,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,O2,PO10,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,O1,PO9,Occipital,Occipital,8,12,12,7.35683912920622e-11,3.1456829380054184e-08,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,O2,PO10,Occipital,Occipital,9,12,12,8.421573233354471e-13,4.540326438851976e-10,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,Oz,O1,Occipital,Occipital,4,12,12,0.00016973510588022393,0.03087601926036347,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,O1,PO9,Occipital,Occipital,8,12,12,7.35683912920622e-11,3.1456829380054184e-08,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,Oz,O2,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,O1,Oz,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,O2,Oz,Occipital,Occipital,7,12,12,4.5744495591486245e-09,1.628416493783051e-06,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,O1,Oz,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,Oz,O2,Occipital,Occipital,9,12,12,8.421573233354471e-13,4.540326438851976e-10,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,O1,PO9,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,O2,PO10,Occipital,Occipital,11,12,12,3.0531096369412427e-17,3.199314887160964e-14,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,Oz,O1,Occipital,Occipital,5,12,12,6.941643366319013e-06,0.0015650250498610138,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,O2,Oz,Occipital,Occipital,11,12,12,3.0531096369412427e-17,3.199314887160964e-14,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,O1,Oz,Occipital,Occipital,7,12,12,4.5744495591486245e-09,1.628416493783051e-06,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,O1,PO9,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,O2,PO10,Occipital,Occipital,10,12,12,6.511753201852308e-15,4.614042268741064e-12,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Oz,O2,Occipital,Occipital,12,12,12,6.563568743961737e-20,1.0389989671292623e-16,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Oz,O1,Occipital,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,O2,Oz,Occipital,Occipital,11,12,12,3.0531096369412427e-17,3.199314887160964e-14,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,P7,O1,Parietal,Occipital,5,12,12,6.941643366319013e-06,0.0015650250498610138,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,P4,P8,Parietal,Parietal,7,12,12,4.5744495591486245e-09,1.628416493783051e-06,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,O2,C3,Occipital,Frontocentral,4,12,12,0.00016973510588022393,0.03087601926036347,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,Oz,FC5,Occipital,Frontocentral,4,12,12,0.00016973510588022393,0.03087601926036347,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,C4,FC2,Frontocentral,Frontocentral,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,P8,PO10,Parietal,Occipital,6,12,12,2.0768421372728914e-07,5.6807740813640846e-05,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,C4,CP2,Frontocentral,Parietal,5,12,12,6.941643366319013e-06,0.0015650250498610138,True
