phase,pc,lag_ms,src,dst,region_src,region_dst,config_count,successful_config_count,stability_fraction,max_k,max_n_subjects,min_p_value,min_q_value,topk_values,min_subjects_values,p0_inflate_values
HandStart__FirstDigitTouch,pc1,100,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,6.563568743961737e-20,1.0389989671292623e-16,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,150,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,6.563568743961737e-20,1.0389989671292623e-16,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,150,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,6.563568743961737e-20,1.0389989671292623e-16,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,200,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,6.563568743961737e-20,1.0389989671292623e-16,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,200,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,6.563568743961737e-20,1.0389989671292623e-16,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,3.0531096369412427e-17,3.199314887160964e-14,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,3.0531096369412427e-17,3.199314887160964e-14,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,150,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,3.0531096369412427e-17,3.199314887160964e-14,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,150,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,3.0531096369412427e-17,3.199314887160964e-14,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,3.0531096369412427e-17,3.199314887160964e-14,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,2.6884377575267276e-16,1.8350437537613628e-13,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,100,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,2.6884377575267276e-16,1.8350437537613628e-13,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,2.6884377575267276e-16,1.8350437537613628e-13,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,100,PO9,Oz,Occipital,Occipital,27,27,1.0,12,12,2.6884377575267276e-16,1.8350437537613628e-13,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,O1,FC1,Occipital,Frontocentral,27,27,1.0,12,12,2.6884377575267276e-16,1.8350437537613628e-13,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,50,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,100,PO10,Oz,Occipital,Occipital,27,27,1.0,12,12,3.488149536859777e-14,1.802210594044218e-11,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,3.0531096369412427e-17,3.199314887160964e-14,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,100,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,150,PO10,Oz,Occipital,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,150,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,Oz,Occipital,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,200,P7,O1,Parietal,Occipital,27,27,1.0,11,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,PO10,Oz,Occipital,Occipital,27,27,1.0,11,12,6.104904459791693e-14,2.803733900052481e-11,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,100,PO10,Oz,Occipital,Occipital,27,27,1.0,11,12,6.104904459791693e-14,2.803733900052481e-11,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,200,P4,P8,Parietal,Parietal,27,27,1.0,11,12,6.104904459791693e-14,2.803733900052481e-11,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,Oz,Occipital,Occipital,27,27,1.0,11,12,6.104904459791693e-14,2.803733900052481e-11,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,50,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,6.104904459791693e-14,2.803733900052481e-11,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,200,P4,P8,Parietal,Parietal,27,27,1.0,11,12,6.104904459791693e-14,2.803733900052481e-11,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,Oz,Occipital,Occipital,27,27,1.0,11,12,8.421573233354471e-13,4.540326438851976e-10,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,100,CP6,C4,Parietal,Frontocentral,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,50,Oz,FC5,Occipital,Frontocentral,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,100,CP6,C4,Parietal,Frontocentral,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,200,CP6,C4,Parietal,Frontocentral,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,200,P4,P8,Parietal,Parietal,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,50,O2,Cz,Occipital,Frontocentral,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,200,P4,P8,Parietal,Parietal,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc3,200,P7,O1,Parietal,Occipital,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,50,C4,FC2,Frontocentral,Frontocentral,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,200,PO9,Oz,Occipital,Occipital,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc3,200,P4,P8,Parietal,Parietal,27,27,1.0,11,12,5.152694495849263e-12,1.7914040677158183e-09,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,150,P7,O1,Parietal,Occipital,27,27,1.0,10,12,6.511753201852308e-15,4.614042268741064e-12,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc3,150,P4,P8,Parietal,Parietal,27,27,1.0,10,12,8.421573233354471e-13,4.540326438851976e-10,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,100,P7,O1,Parietal,Occipital,27,27,1.0,10,12,8.421573233354471e-13,4.540326438851976e-10,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,Oz,Occipital,Occipital,27,27,1.0,10,12,6.3590934537905775e-12,2.3421611532773215e-09,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc3,150,P4,P8,Parietal,Parietal,27,27,1.0,10,12,6.3590934537905775e-12,2.3421611532773215e-09,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,150,P4,P8,Parietal,Parietal,27,27,1.0,10,12,6.3590934537905775e-12,2.3421611532773215e-09,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,200,PO10,Oz,Occipital,Occipital,27,27,1.0,10,12,6.3590934537905775e-12,2.3421611532773215e-09,5 10 15,3 4 5,5.0 10.0 15.0
