phase,pc,lag_ms,src,dst,region_src,region_dst,distance_cm,short_range,zero_lag,reverse_present,asymmetric,vc_robust
BothStartLoadPhase__LiftOff,pc1,50,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,50,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,100,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,150,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,150,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,200,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,200,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,50,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc2,200,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,150,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc1,50,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,50,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,100,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,100,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,100,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,150,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,150,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,150,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,150,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,200,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,200,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc1,200,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
HandStart__FirstDigitTouch,pc1,200,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
HandStart__FirstDigitTouch,pc2,50,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,150,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,200,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,200,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc1,50,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,50,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,100,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,150,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,200,PO10,O2,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc1,200,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,150,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc2,150,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
LiftOff__Replace,pc2,150,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
Replace__BothReleased,pc2,200,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc1,100,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc1,200,PO9,Oz,Occipital,Occipital,5.45,False,False,False,True,True
BothStartLoadPhase__LiftOff,pc2,50,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc2,150,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
BothStartLoadPhase__LiftOff,pc2,150,O2,PO10,Occipital,Occipital,2.892,True,False,False,True,False
BothStartLoadPhase__LiftOff,pc2,200,O2,Oz,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO9,O1,Occipital,Occipital,2.892,True,False,False,True,False
FirstDigitTouch__BothStartLoadPhase,pc2,50,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
FirstDigitTouch__BothStartLoadPhase,pc2,200,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,100,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
HandStart__FirstDigitTouch,pc2,150,Oz,O2,Occipital,Occipital,2.902,True,False,True,False,False
LiftOff__Replace,pc1,50,PO10,Oz,Occipital,Occipital,5.45,False,False,False,True,True
