phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant
BothStartLoadPhase__LiftOff,pc1,0,F7,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,0,P4,Fp1,Parietal,Frontal,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc1,0,F3,Fp1,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc1,0,FC5,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,CP1,Cz,Parietal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,Pz,CP2,Parietal,Parietal,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,Pz,CP1,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,P4,CP2,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,Cz,FC1,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,Cz,FC2,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,FC2,Cz,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,50,CP2,Cz,Parietal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,150,Fz,FC1,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc1,200,Pz,CP1,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,200,F8,FC6,Frontal,Frontocentral,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc1,200,Fp2,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc1,200,CP1,Cz,Parietal,Frontocentral,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc1,200,TP10,T8,Temporal,Temporal,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc1,200,F7,FC5,Frontal,Frontocentral,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
BothStartLoadPhase__LiftOff,pc1,200,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,0,F3,Fp2,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,0,FC1,Fp1,Frontocentral,Frontal,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc2,0,O2,Fp2,Occipital,Frontal,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc2,0,Oz,Fp2,Occipital,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,0,Fp2,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,50,Oz,O1,Occipital,Occipital,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,100,Fp2,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,150,Fp2,P3,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,150,Fp2,CP5,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp1,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp1,F3,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp2,P7,Frontal,Parietal,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp2,CP5,Frontal,Parietal,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp2,Fp1,Frontal,Frontal,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp2,F4,Frontal,Frontocentral,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp1,Fp2,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc2,200,Fp1,P3,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,0,O1,PO9,Occipital,Occipital,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc3,0,Fp1,F7,Frontal,Frontal,6,12,12,0.0005654110912547203,1.0,False
BothStartLoadPhase__LiftOff,pc3,0,Fp1,F4,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,0,Fp2,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,0,F3,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,50,Fz,O2,Frontal,Occipital,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,50,TP10,PO10,Temporal,Occipital,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,50,Fp1,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,50,O2,PO10,Occipital,Occipital,5,12,12,0.004484084738993281,1.0,False
BothStartLoadPhase__LiftOff,pc3,50,Fp2,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,100,Fp1,Fp2,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,100,Fp2,F7,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,100,Fp2,Fp1,Frontal,Frontal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,150,Fz,P7,Frontal,Parietal,4,12,12,0.026330690325135755,1.0,False
BothStartLoadPhase__LiftOff,pc3,200,Fp2,F3,Frontal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,0,F3,Fp1,Frontocentral,Frontal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,0,P4,Fp1,Parietal,Frontal,6,12,12,0.0005654110912547203,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,0,FC5,F7,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,0,F4,Fp2,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,CP1,Cz,Parietal,Frontocentral,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,FC2,Fz,Frontocentral,Frontal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,Pz,CP2,Parietal,Parietal,5,12,12,0.004484084738993281,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,P4,CP2,Parietal,Parietal,4,12,12,0.026330690325135755,1.0,False
FirstDigitTouch__BothStartLoadPhase,pc1,50,Cz,FC1,Frontocentral,Frontocentral,4,12,12,0.026330690325135755,1.0,False
