phase,pc,lag_ms,src,dst
BothStartLoadPhase__LiftOff,pc1,50,PO10,O2
BothStartLoadPhase__LiftOff,pc1,50,PO9,O1
BothStartLoadPhase__LiftOff,pc1,100,PO10,O2
BothStartLoadPhase__LiftOff,pc1,150,PO10,O2
BothStartLoadPhase__LiftOff,pc1,150,PO9,O1
BothStartLoadPhase__LiftOff,pc1,200,PO10,O2
BothStartLoadPhase__LiftOff,pc1,200,PO9,O1
BothStartLoadPhase__LiftOff,pc2,50,O2,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,O2
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,O1
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,O2
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,O2
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,O1
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,O2
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,O1
HandStart__FirstDigitTouch,pc1,50,PO10,O2
HandStart__FirstDigitTouch,pc1,50,PO9,O1
HandStart__FirstDigitTouch,pc1,100,PO10,O2
HandStart__FirstDigitTouch,pc1,100,PO9,O1
HandStart__FirstDigitTouch,pc1,150,PO10,O2
HandStart__FirstDigitTouch,pc1,150,PO9,O1
HandStart__FirstDigitTouch,pc1,150,PO9,Oz
HandStart__FirstDigitTouch,pc1,200,PO10,O2
HandStart__FirstDigitTouch,pc1,200,PO9,O1
HandStart__FirstDigitTouch,pc1,200,PO9,Oz
HandStart__FirstDigitTouch,pc2,50,O2,Oz
HandStart__FirstDigitTouch,pc2,150,O2,Oz
HandStart__FirstDigitTouch,pc2,200,O2,Oz
HandStart__FirstDigitTouch,pc2,200,Oz,O2
LiftOff__Replace,pc1,50,PO9,O1
LiftOff__Replace,pc1,100,PO10,O2
LiftOff__Replace,pc1,100,PO9,O1
LiftOff__Replace,pc1,150,PO10,O2
LiftOff__Replace,pc1,150,PO10,Oz
LiftOff__Replace,pc1,150,PO9,O1
LiftOff__Replace,pc1,150,PO9,Oz
LiftOff__Replace,pc1,200,PO10,O2
LiftOff__Replace,pc1,200,PO9,O1
LiftOff__Replace,pc1,200,PO9,Oz
LiftOff__Replace,pc2,150,O2,Oz
LiftOff__Replace,pc2,150,O2,PO10
LiftOff__Replace,pc2,150,Oz,O2
LiftOff__Replace,pc2,200,Oz,O2
BothStartLoadPhase__LiftOff,pc1,100,PO9,O1
BothStartLoadPhase__LiftOff,pc2,200,O2,Oz
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO9,O1
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,Oz
