phase,pc,lag_ms,src,dst,region_src,region_dst,config_count,successful_config_count,stability_fraction,max_k,max_n_subjects,min_p_value,min_q_value,topk_values,min_subjects_values,p0_inflate_values
Replace__BothReleased,pc2,50,Fp2,Fp1,Frontal,Frontal,27,27,1.0,10,12,6.511753201852308e-15,1.1721155763334154e-13,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,0,Fp1,Fp2,Frontal,Frontal,27,27,1.0,10,12,7.35683912920622e-11,4.414103477523732e-10,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,200,Fp2,Fp1,Frontal,Frontal,27,27,1.0,9,12,7.35683912920622e-11,4.414103477523732e-10,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,F7,FC5,Other,Frontocentral,27,27,1.0,9,12,4.0187628235108975e-10,6.200376927702528e-09,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,0,Fp2,Fp1,Frontal,Frontal,27,27,1.0,9,12,4.0187628235108975e-10,6.200376927702528e-09,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,F8,FC6,Other,Frontocentral,26,27,0.9629629629629629,8,12,4.5744495591486245e-09,1.1762870294953607e-08,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc1,200,Fp2,F4,Frontal,Frontocentral,26,27,0.9629629629629629,8,12,1.7167849919707603e-08,1.8541277913284212e-07,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,200,Fp2,Fp1,Frontal,Frontal,26,27,0.9629629629629629,8,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,50,Fp1,Fp2,Frontal,Frontal,26,27,0.9629629629629629,8,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,F8,FC6,Other,Frontocentral,25,27,0.9259259259259259,8,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,F8,FC6,Other,Frontocentral,25,27,0.9259259259259259,8,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,200,Fp1,Fp2,Frontal,Frontal,25,27,0.9259259259259259,7,12,4.5744495591486245e-09,1.1762870294953607e-08,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,150,Fp1,Fp2,Frontal,Frontal,25,27,0.9259259259259259,7,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,Pz,CP2,Parietal,Parietal,24,27,0.8888888888888888,11,12,5.152694495849263e-12,1.216035901020426e-09,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,F7,FC5,Other,Frontocentral,24,27,0.8888888888888888,9,12,4.0187628235108975e-10,6.200376927702528e-09,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,200,Fp2,Fp1,Frontal,Frontal,24,27,0.8888888888888888,7,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc2,0,FC1,Fp1,Frontocentral,Frontal,24,27,0.8888888888888888,7,12,6.941643366319013e-06,6.941643366319013e-06,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,F7,FC5,Other,Frontocentral,24,27,0.8888888888888888,7,12,6.941643366319013e-06,6.941643366319013e-06,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,50,Pz,CP1,Parietal,Parietal,23,27,0.8518518518518519,8,12,4.0023808014420435e-07,3.5272891748982306e-06,5 10 15,3 4 5,5.0 10.0 15.0
Replace__BothReleased,pc2,100,Fp2,Fp1,Frontal,Frontal,23,27,0.8518518518518519,6,12,2.0768421372728914e-07,2.4922105647274695e-07,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,200,F8,FC6,Other,Frontocentral,22,27,0.8148148148148148,6,12,6.941643366319013e-06,6.941643366319013e-06,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,Pz,CP2,Parietal,Parietal,21,27,0.7777777777777778,7,12,7.948737705520244e-06,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc2,0,FC1,Fp1,Frontocentral,Frontal,21,27,0.7777777777777778,7,12,7.948737705520244e-06,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,CP1,Pz,Parietal,Parietal,21,27,0.7777777777777778,7,12,7.948737705520244e-06,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc2,200,Fp2,F4,Frontal,Frontocentral,21,27,0.7777777777777778,7,12,7.948737705520244e-06,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc3,0,Fp1,F7,Frontal,Other,21,27,0.7777777777777778,7,12,7.948737705520244e-06,3.1403998874329574e-05,5 10 15,3 4 5,5.0 10.0 15.0
LiftOff__Replace,pc1,200,TP10,T8,Temporal,Temporal,20,27,0.7407407407407407,9,12,1.4375572031334258e-08,1.8541277913284212e-07,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,CP1,Cz,Parietal,Frontocentral,20,27,0.7407407407407407,7,12,7.948737705520244e-06,3.7518041970055546e-05,5 10 15,3 4 5,5.0 10.0 15.0
