phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant,config_count,successful_config_count,stability_fraction
Replace__BothReleased,pc2,50,Fp2,Fp1,Frontal,Frontal,10,12,12,5.9017107614492725e-09,0.0004390872806518259,True,24,27,0.8888888888888888
BothStartLoadPhase__LiftOff,pc1,200,F7,FC5,Frontal,Frontocentral,9,12,12,1.7784181199405136e-07,0.001890204401765346,True,12,27,0.4444444444444444
FirstDigitTouch__BothStartLoadPhase,pc1,200,F7,FC5,Frontal,Frontocentral,9,12,12,1.7784181199405136e-07,0.001890204401765346,True,18,27,0.6666666666666666
LiftOff__Replace,pc1,50,Pz,CP2,Parietal,Parietal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True,12,27,0.4444444444444444
Replace__BothReleased,pc2,0,Fp1,Fp2,Frontal,Frontal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True,21,27,0.7777777777777778
Replace__BothReleased,pc2,0,Fp2,Fp1,Frontal,Frontal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True,18,27,0.6666666666666666
Replace__BothReleased,pc2,200,Fp2,Fp1,Frontal,Frontal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True,21,27,0.7777777777777778
LiftOff__Replace,pc1,200,F8,FC6,Frontal,Frontocentral,8,12,12,3.6286796437323756e-06,0.026997376549368873,True,15,27,0.5555555555555556
LiftOff__Replace,pc1,200,TP10,T8,Temporal,Temporal,8,12,12,3.6286796437323756e-06,0.026997376549368873,True,12,27,0.4444444444444444
Replace__BothReleased,pc1,200,Fp2,F4,Frontal,Frontocentral,8,12,12,3.6286796437323756e-06,0.026997376549368873,True,12,27,0.4444444444444444
