phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant
Replace__BothReleased,pc2,50,Fp2,Fp1,Frontal,Frontal,10,12,12,5.9017107614492725e-09,0.0004390872806518259,True
BothStartLoadPhase__LiftOff,pc1,200,F7,FC5,Frontal,Frontocentral,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
FirstDigitTouch__BothStartLoadPhase,pc1,200,F7,FC5,Frontal,Frontocentral,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
LiftOff__Replace,pc1,50,Pz,CP2,Parietal,Parietal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
Replace__BothReleased,pc2,0,Fp1,Fp2,Frontal,Frontal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
Replace__BothReleased,pc2,0,Fp2,Fp1,Frontal,Frontal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
Replace__BothReleased,pc2,200,Fp2,Fp1,Frontal,Frontal,9,12,12,1.7784181199405136e-07,0.001890204401765346,True
LiftOff__Replace,pc1,200,F8,FC6,Frontal,Frontocentral,8,12,12,3.6286796437323756e-06,0.026997376549368873,True
LiftOff__Replace,pc1,200,TP10,T8,Temporal,Temporal,8,12,12,3.6286796437323756e-06,0.026997376549368873,True
Replace__BothReleased,pc1,200,Fp2,F4,Frontal,Frontocentral,8,12,12,3.6286796437323756e-06,0.026997376549368873,True
