phase=FirstDigitTouch__BothStartLoadPhase
group=subj02
mode=gc m=4 pca_r=3 pc=1 lag_ms=150
epoch_len_s=2.0 fs=500
files=8 cycles_total=181 windows_total=905
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. FC1 -> PO10 : 0.030971
002. Fp2 -> Fz : 0.021804
003. PO10 -> Pz : 0.019158
004. PO9 -> Pz : 0.018907
005. PO10 -> CP6 : 0.018811
006. T8 -> CP6 : 0.018705
007. CP6 -> CP2 : 0.018080
008. CP2 -> Pz : 0.016891
009. TP9 -> CP5 : 0.016696
010. CP6 -> P4 : 0.016688
011. P7 -> Pz : 0.016640
012. T8 -> CP2 : 0.016306
013. F7 -> Fp1 : 0.016027
014. O1 -> P4 : 0.016026
015. CP6 -> Pz : 0.016007
016. O1 -> Pz : 0.015928
017. Pz -> CP2 : 0.015662
018. P4 -> CP6 : 0.015641
019. O2 -> CP6 : 0.015086
020. PO10 -> CP2 : 0.015023
021. T8 -> P4 : 0.015018
022. P7 -> C3 : 0.014770
023. TP9 -> P7 : 0.014692
024. P7 -> CP1 : 0.014629
025. P7 -> P3 : 0.014606
026. PO9 -> CP1 : 0.014565
027. Oz -> Pz : 0.014457
028. Pz -> P4 : 0.014055
029. Oz -> CP6 : 0.013986
030. T8 -> C4 : 0.013936
031. PO9 -> CP2 : 0.013743
032. O1 -> CP6 : 0.013720
033. TP9 -> P3 : 0.013625
034. O2 -> Pz : 0.013528
035. CP2 -> CP6 : 0.013284
036. FC5 -> Fz : 0.013280
037. Pz -> CP6 : 0.013201
038. T7 -> CP5 : 0.013185
039. O1 -> CP2 : 0.013160
040. CP2 -> Fz : 0.012917
