phase=FirstDigitTouch__BothStartLoadPhase
group=subj12
mode=gc m=4 pca_r=3 pc=1 lag_ms=100
epoch_len_s=2.0 fs=500
files=8 cycles_total=224 windows_total=1120
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. T7 -> FC5 : 0.029809
002. TP9 -> T7 : 0.017249
003. P4 -> PO10 : 0.011849
004. P8 -> PO10 : 0.010731
005. P8 -> T8 : 0.010515
006. P4 -> CP5 : 0.009998
007. Pz -> CP5 : 0.009973
008. P4 -> T8 : 0.009934
009. P8 -> T7 : 0.009643
010. Pz -> P3 : 0.009147
011. P4 -> P3 : 0.009104
012. Oz -> Fp2 : 0.008651
013. O1 -> T7 : 0.008615
014. TP9 -> PO10 : 0.008328
015. P8 -> P3 : 0.008254
016. P8 -> TP9 : 0.008228
017. Pz -> P7 : 0.008201
018. O2 -> T8 : 0.008168
019. CP6 -> CP5 : 0.007862
020. Pz -> C3 : 0.007725
021. Oz -> CP5 : 0.007457
022. P8 -> CP5 : 0.007371
023. TP10 -> PO10 : 0.007326
024. Oz -> TP9 : 0.007062
025. CP6 -> P7 : 0.006879
026. O2 -> Fp1 : 0.006578
027. P4 -> P7 : 0.006558
028. Pz -> PO10 : 0.006517
029. Pz -> TP9 : 0.006465
030. CP2 -> TP10 : 0.006387
031. Oz -> C3 : 0.006259
032. O2 -> CP5 : 0.006108
033. FC2 -> F4 : 0.006003
034. Oz -> PO10 : 0.005980
035. F7 -> F3 : 0.005969
036. O1 -> Fp2 : 0.005948
037. P4 -> O2 : 0.005944
038. T8 -> PO10 : 0.005886
039. CP2 -> T8 : 0.005821
040. O1 -> C3 : 0.005797
