phase=FirstDigitTouch__BothStartLoadPhase
group=subj01
mode=corr m=4 pca_r=3 pc=3 lag_ms=50
epoch_len_s=2.0 fs=500
files=8 cycles_total=260 windows_total=1300
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. Pz -> P3 : 0.052911
002. Oz -> PO9 : 0.047296
003. P3 -> Pz : 0.044954
004. PO9 -> Oz : -0.040155
005. FC2 -> Oz : 0.040038
006. CP1 -> CP2 : 0.039062
007. CP2 -> CP1 : 0.035959
008. PO9 -> P7 : -0.035630
009. F7 -> Oz : 0.035093
010. Cz -> FC1 : -0.034817
011. Cz -> Fp2 : -0.034596
012. Fp1 -> PO9 : 0.034114
013. Oz -> F7 : 0.033968
014. Fp2 -> PO9 : 0.033847
015. Cz -> Fp1 : -0.033818
016. FC2 -> F7 : -0.033746
017. C3 -> P7 : 0.032986
018. CP2 -> Cz : 0.032759
019. Oz -> FC2 : 0.032508
020. FC2 -> Fz : -0.032433
021. PO9 -> Fz : -0.032218
022. C3 -> Fp1 : -0.031550
023. O1 -> Fp2 : 0.031101
024. Fz -> Fp1 : 0.030982
025. Cz -> CP2 : 0.030578
026. FC2 -> FC1 : -0.030440
027. CP2 -> Pz : 0.030402
028. F7 -> FC2 : -0.030022
029. PO9 -> CP2 : 0.029571
030. P3 -> Oz : -0.029556
031. P7 -> PO9 : -0.029084
032. TP9 -> PO10 : -0.029013
033. FC1 -> T7 : -0.028950
034. FC1 -> FC2 : -0.028608
035. FC1 -> CP2 : -0.028562
036. O2 -> PO9 : 0.028260
037. P7 -> C3 : 0.028145
038. P3 -> Fp1 : 0.028135
039. P3 -> O2 : 0.028034
040. O2 -> Oz : 0.027989
