phase=BothStartLoadPhase__LiftOff
group=subj02
mode=corr m=4 pca_r=3 pc=1 lag_ms=100
epoch_len_s=2.0 fs=500
files=8 cycles_total=181 windows_total=905
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. FC5 -> T7 : 0.084934
002. F7 -> Fp1 : -0.078403
003. T7 -> FC5 : 0.070787
004. O2 -> Oz : -0.069019
005. FC2 -> FC1 : -0.068624
006. Fp1 -> F7 : -0.064366
007. Oz -> O2 : -0.063710
008. FC1 -> FC2 : -0.062452
009. Fp2 -> O1 : -0.059903
010. Fp1 -> Oz : -0.059733
011. CP1 -> CP2 : -0.058565
012. O1 -> Fp2 : -0.056449
013. CP2 -> CP1 : -0.056106
014. CP1 -> Cz : -0.055485
015. Fp1 -> O2 : -0.055413
016. Fp1 -> FC2 : -0.054663
017. F7 -> Fp2 : -0.054575
018. Oz -> Fp1 : -0.053784
019. Cz -> CP1 : -0.053023
020. F7 -> FC5 : 0.052281
021. Fp2 -> O2 : -0.051948
022. Fp1 -> O1 : -0.051213
023. Fp2 -> F3 : -0.050607
024. Fp2 -> FC2 : -0.050545
025. F8 -> Fp2 : -0.049750
026. Pz -> CP1 : -0.049518
027. Oz -> O1 : -0.047954
028. Fp2 -> F7 : -0.047413
029. F4 -> Fz : 0.046885
030. FC2 -> TP9 : -0.046640
031. P4 -> Fp2 : -0.046127
032. FC1 -> Cz : -0.046049
033. C4 -> CP2 : -0.045741
034. TP9 -> FC2 : -0.045724
035. Fp1 -> PO9 : -0.045634
036. F8 -> Fp1 : -0.045373
037. Fp2 -> Oz : -0.044933
038. Fp2 -> F4 : -0.044888
039. Fp2 -> TP10 : -0.044877
040. O1 -> Oz : -0.044867
