phase=FirstDigitTouch__BothStartLoadPhase
group=subj03
mode=corr m=4 pca_r=3 pc=3 lag_ms=0
epoch_len_s=2.0 fs=500
files=8 cycles_total=259 windows_total=1295
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. FC5 -> F3 : 0.089157
002. F3 -> FC5 : 0.087075
003. FC1 -> FC2 : -0.076770
004. FC2 -> FC1 : -0.075910
005. FC2 -> Cz : 0.069695
006. Cz -> FC2 : 0.068413
007. T7 -> Fp1 : -0.064112
008. PO10 -> P8 : 0.060965
009. Oz -> Fp2 : 0.057926
010. P8 -> PO10 : 0.057349
011. Cz -> T8 : 0.056870
012. PO10 -> O2 : 0.056117
013. O2 -> PO10 : 0.055553
014. T8 -> Cz : 0.054944
015. O2 -> Fz : -0.053735
016. Fp2 -> Fp1 : -0.053555
017. CP1 -> PO10 : -0.053086
018. Fp1 -> TP9 : -0.052257
019. CP2 -> PO9 : -0.051840
020. Fp1 -> Fp2 : -0.051149
021. F4 -> Fp2 : 0.050936
022. Fz -> O2 : -0.050623
023. Fp2 -> TP9 : -0.048074
024. Fp1 -> T7 : -0.047909
025. PO10 -> CP1 : -0.047717
026. FC1 -> T8 : 0.047324
027. T8 -> FC1 : 0.047234
028. Fp2 -> F4 : 0.047057
029. PO10 -> Fp2 : -0.046811
030. Fp2 -> T7 : -0.046147
031. T8 -> P3 : 0.046031
032. T8 -> Fp2 : -0.045905
033. T7 -> Fp2 : -0.045804
034. Fp2 -> T8 : -0.045051
035. Fp2 -> Oz : -0.044390
036. F7 -> Fp1 : 0.043751
037. T8 -> C3 : 0.043512
038. Fp2 -> PO10 : -0.042245
039. P3 -> T8 : 0.041870
040. FC2 -> Fz : -0.041653
