phase=Replace__BothReleased
group=subj08
mode=corr m=4 pca_r=3 pc=2 lag_ms=200
epoch_len_s=2.0 fs=500
files=8 cycles_total=257 windows_total=1285
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. CP6 -> F7 : -0.079962
002. O2 -> Fp2 : 0.079422
003. O2 -> PO10 : -0.068238
004. P7 -> O1 : -0.064310
005. O1 -> PO9 : -0.063255
006. PO9 -> O1 : -0.062734
007. F8 -> Fp2 : 0.061523
008. Fp2 -> O1 : 0.060967
009. O2 -> Fp1 : -0.060335
010. O1 -> O2 : -0.058530
011. O1 -> P7 : -0.057948
012. Oz -> PO10 : -0.057674
013. Fp2 -> O2 : 0.056973
014. Fp1 -> O2 : -0.055703
015. PO10 -> O2 : -0.055660
016. F8 -> Fp1 : 0.055427
017. Fp1 -> Fp2 : 0.054577
018. O2 -> O1 : -0.052972
019. PO9 -> Oz : -0.052731
020. Fp2 -> Oz : -0.052204
021. O1 -> Fp1 : -0.052049
022. P8 -> PO10 : -0.051612
023. PO9 -> F8 : 0.050418
024. P8 -> Fp2 : 0.050231
025. PO10 -> Oz : -0.050195
026. Oz -> PO9 : -0.047847
027. Fz -> O1 : -0.047598
028. P4 -> O2 : -0.046811
029. O1 -> Fp2 : 0.045813
030. Fp1 -> O1 : -0.043646
031. Fp2 -> Fp1 : -0.043559
032. CP2 -> Pz : -0.043035
033. FC1 -> Fz : -0.042040
034. Oz -> F8 : -0.040790
035. T7 -> P7 : -0.039708
036. O1 -> PO10 : -0.039350
037. Fp1 -> Oz : -0.039327
038. F3 -> O1 : 0.038922
039. O1 -> Fz : -0.038680
040. PO9 -> TP9 : -0.038349
