phase=LiftOff__Replace
group=subj10
mode=corr m=4 pca_r=3 pc=3 lag_ms=50
epoch_len_s=2.0 fs=500
files=8 cycles_total=220 windows_total=1100
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. CP1 -> CP2 : 0.084774
002. CP2 -> CP1 : 0.078777
003. Oz -> Fp2 : 0.070679
004. Fz -> Fp2 : -0.052307
005. F4 -> Fp2 : 0.050641
006. PO9 -> Fp2 : 0.050104
007. Fp2 -> PO9 : 0.049716
008. O1 -> Fp2 : 0.049699
009. PO10 -> Fp2 : -0.049572
010. Fp2 -> F4 : 0.047079
011. Fp2 -> F3 : -0.046800
012. PO9 -> Fp1 : 0.046277
013. Fp2 -> O1 : 0.045819
014. Fp2 -> TP9 : -0.045625
015. Fp2 -> PO10 : -0.043857
016. Fp2 -> Fz : -0.043626
017. T7 -> Fp1 : -0.043474
018. Fp1 -> PO9 : 0.042685
019. Fp1 -> TP9 : -0.042223
020. T7 -> O1 : 0.041259
021. F3 -> Fp2 : 0.039009
022. Fp1 -> PO10 : 0.038054
023. Fp2 -> Oz : -0.037335
024. T8 -> Fp1 : 0.035988
025. TP9 -> Fp2 : 0.035935
026. TP10 -> PO9 : 0.035633
027. TP10 -> Fp2 : -0.035604
028. Fp1 -> TP10 : 0.035379
029. F4 -> P7 : -0.034947
030. O1 -> T7 : 0.034796
031. P7 -> F4 : -0.034700
032. P8 -> Fp2 : 0.034542
033. Fp2 -> T7 : -0.034446
034. F4 -> Fp1 : 0.034297
035. O1 -> Fp1 : 0.033772
036. Cz -> CP1 : 0.033710
037. Oz -> F4 : -0.033637
038. Fp1 -> T7 : -0.033353
039. F4 -> Oz : -0.033136
040. TP9 -> Fp1 : 0.032990
