phase=Replace__BothReleased
group=subj11
mode=corr m=4 pca_r=3 pc=3 lag_ms=100
epoch_len_s=2.0 fs=500
files=8 cycles_total=238 windows_total=1190
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. Pz -> Cz : 0.066027
002. Cz -> Pz : 0.051299
003. Fp2 -> Fz : 0.049785
004. T7 -> Fp1 : -0.049324
005. Cz -> Fp2 : 0.046291
006. CP1 -> CP2 : -0.045922
007. P7 -> Fz : -0.045116
008. Cz -> Fp1 : 0.040436
009. CP2 -> CP1 : -0.038955
010. Cz -> O1 : 0.038700
011. Cz -> FC2 : -0.037715
012. P7 -> F3 : -0.037555
013. P8 -> Fz : -0.037536
014. F4 -> PO10 : -0.036235
015. P3 -> Fp2 : -0.036035
016. PO9 -> Fp1 : 0.035693
017. Fp1 -> Fp2 : -0.035479
018. Fp1 -> Fz : 0.035201
019. Fz -> P8 : -0.035179
020. PO10 -> F4 : -0.034727
021. Cz -> CP2 : -0.034531
022. Fz -> P7 : -0.033635
023. CP1 -> Fp2 : 0.033033
024. CP1 -> P7 : -0.032897
025. Fp2 -> P3 : -0.032535
026. Oz -> Pz : -0.032233
027. Cz -> F3 : -0.031843
028. F4 -> O2 : -0.031679
029. P7 -> CP1 : -0.031590
030. Fz -> Fp2 : 0.030114
031. Fp1 -> F3 : 0.029466
032. Fp2 -> TP9 : -0.028998
033. TP10 -> Fp1 : 0.028985
034. PO9 -> F3 : 0.028451
035. F7 -> Fz : -0.028382
036. F4 -> P7 : -0.028288
037. F7 -> Pz : 0.027908
038. Fp1 -> T7 : -0.027845
039. F4 -> PO9 : -0.027747
040. CP2 -> Pz : 0.027683
